Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
166.875	-13.93952	92.57465
167.1875	-13.95744	92.21211
167.5	-14.01707	92.41351
167.8125	-13.99022	92.45911
168.125	-14.01948	92.19823
168.4375	-14.07005	92.40343
168.75	-14.09023	92.13916
169.0625	-14.14264	92.35629
169.375	-14.17017	92.01955
169.6875	-14.2062	92.39404
170	-14.2377	92.14968
170.3125	-14.24624	92.14209
170.625	-14.2376	92.48004
170.9375	-14.28812	92.49173
171.25	-14.31139	92.14231
171.5625	-14.35154	92.07764
171.875	-14.38321	91.89391
172.1875	-14.37662	91.93661
172.5	-14.45177	92.04346
172.8125	-14.48443	92.04031
173.125	-14.50623	91.75215
173.4375	-14.56666	91.58705
173.75	-14.56636	91.82449
174.0625	-14.55684	91.49318
174.375	-14.59534	91.81818
174.6875	-14.67361	91.98234
175	-14.67803	91.57761
175.3125	-14.68112	92.07015
175.625	-14.67943	91.89964
175.9375	-14.74374	91.79146
176.25	-14.72984	91.75652
176.5625	-14.77371	91.9763
176.875	-14.75782	91.78917
177.1875	-14.80749	91.88931
177.5	-14.82168	91.93187
177.8125	-14.81172	91.52013
178.125	-14.89406	91.6762
178.4375	-14.89263	92.08533
178.75	-14.9145	92.04591
179.0625	-14.92226	91.82221
179.375	-14.9337	92.07613
179.6875	-14.9258	92.39193
180	-14.94055	92.19258
180.3125	-14.98771	92.3113
180.625	-15.00055	92.44438
180.9375	-14.98228	92.46709
181.25	-14.96521	92.38018
181.5625	-14.98765	92.29104
181.875	-14.99903	92.51052
182.1875	-14.99262	92.65099
182.5	-14.98495	92.64799
182.8125	-14.96603	92.27949
183.125	-15.02402	92.19358
183.4375	-15.04513	92.40832
183.75	-15.03059	92.15426
184.0625	-15.05533	92.06029
184.375	-15.05046	92.1434
184.6875	-15.0733	92.25362
185	-15.05282	92.35771
185.3125	-15.09119	92.30352
185.625	-15.11887	92.31828
185.9375	-15.09451	92.4613
186.25	-15.07447	92.0045
186.5625	-15.09597	92.22663
186.875	-15.10105	92.07401
187.1875	-15.12163	92.17471
187.5	-15.08672	92.48643
187.8125	-15.08464	92.20741
188.125	-15.09781	92.04155
188.4375	-15.12406	92.44891
188.75	-15.10921	92.16354
189.0625	-15.10557	92.43401
189.375	-15.11268	92.00399
189.6875	-15.13925	92.361
190	-15.08853	92.17226
190.3125	-15.15577	92.2897
190.625	-15.14109	92.03958
190.9375	-15.11516	92.21344
191.25	-15.1324	92.01353
191.5625	-15.11409	92.36952
191.875	-15.10846	92.24783
192.1875	-15.14002	92.08028
192.5	-15.14502	92.09436
192.8125	-15.1767	92.19315
193.125	-15.14434	92.10569
193.4375	-15.15248	92.0171
193.75	-15.11976	91.95406
194.0625	-15.11484	91.94267
194.375	-15.05061	91.98805
194.6875	-15.03871	92.16141
195	-15.08996	92.1472
195.3125	-15.12602	92.24309
195.625	-15.16607	92.26694
195.9375	-15.08691	91.85909
196.25	-15.09219	92.3257
196.5625	-15.09511	92.13687
196.875	-15.10307	92.09231
197.1875	-15.12558	92.10104
197.5	-15.08145	92.0788
197.8125	-15.06474	92.03651
198.125	-15.04568	92.01362
198.4375	-15.02093	91.64685
198.75	-15.05501	91.9966
199.0625	-15.01988	91.54955
199.375	-15.05622	92.3336
199.6875	-15.05549	92.46104
200	-15.03306	91.81515
200.3125	-15.03905	92.19266
200.625	-15.018	92.48372
200.9375	-15.0226	91.9277
201.25	-14.94891	92.40498
201.5625	-15.00341	92.3614
201.875	-15.01365	91.97513
202.1875	-14.99326	91.85553
202.5	-14.97896	92.12325
202.8125	-14.9956	91.9296
203.125	-14.9909	92.15002
203.4375	-14.97812	92.19825
203.75	-14.93256	92.40523
204.0625	-14.97208	92.06017
204.375	-14.94907	91.81186
204.6875	-14.91175	92.11552
205	-14.9558	92.34302
205.3125	-14.95449	92.22652
205.625	-14.91738	92.27686
205.9375	-14.9182	92.50162
206.25	-14.9197	92.02918
206.5625	-14.88806	92.24268
206.875	-14.86545	92.33251
207.1875	-14.87597	92.31814
207.5	-14.90712	92.65401
207.8125	-14.83735	92.474
208.125	-14.84703	92.47062
208.4375	-14.85298	92.59832
208.75	-14.84686	92.45025
209.0625	-14.82203	92.52715
209.375	-14.80543	92.76449
209.6875	-14.76783	92.48582
210	-14.82886	92.56052
210.3125	-14.7876	92.96912
210.625	-14.76151	92.71769
210.9375	-14.74484	92.56371
211.25	-14.71401	93.18276
211.5625	-14.77632	92.62767
211.875	-14.68043	93.00996
212.1875	-14.73262	93.09265
212.5	-14.68958	93.11105
212.8125	-14.61339	93.07988
213.125	-14.63807	92.98633
213.4375	-14.62255	93.08199
213.75	-14.59751	93.08765
214.0625	-14.6409	93.38005
214.375	-14.55946	93.13045
214.6875	-14.5743	93.45045
215	-14.55377	93.57132
215.3125	-14.55271	93.68245
215.625	-14.51359	93.84697
215.9375	-14.51357	94.20977
216.25	-14.49728	94.21221
216.5625	-14.49918	94.12635
216.875	-14.4541	94.14674
217.1875	-14.42239	93.9761
217.5	-14.36965	94.69079
217.8125	-14.43073	94.35122
218.125	-14.33808	94.67731
218.4375	-14.33139	94.35547
218.75	-14.25179	94.54192
219.0625	-14.2155	94.36246
219.375	-14.21368	94.69922
219.6875	-14.19927	94.39017
220	-14.1235	94.76239
220.3125	-14.12526	94.43616
220.625	-14.06179	94.22491
220.9375	-14.03928	94.60322
221.25	-14.02915	94.35891
221.5625	-13.99601	94.38583
221.875	-13.97767	94.00304
222.1875	-13.92208	94.47799
222.5	-13.90059	93.99251
222.8125	-13.83439	94.14621
223.125	-13.81897	93.90168
223.4375	-13.79522	93.84777
223.75	-13.78196	94.02631
224.0625	-13.73553	93.74265
224.375	-13.71797	93.53002
224.6875	-13.73785	93.60308
225	-13.69639	93.51137
225.3125	-13.67099	93.48498
225.625	-13.6664	93.30241
225.9375	-13.69727	93.39467
226.25	-13.64128	93.16334
226.5625	-13.61849	93.40728
226.875	-13.58506	93.44304
227.1875	-13.56003	93.00469
227.5	-13.5669	93.19528
227.8125	-13.59996	93.31671
228.125	-13.52862	93.29737
228.4375	-13.48268	93.03787
228.75	-13.49585	93.41124
229.0625	-13.49692	93.18719
229.375	-13.47538	93.37772
229.6875	-13.44563	92.87324
230	-13.41972	93.37553
230.3125	-13.35913	93.25009
230.625	-13.36324	93.25024
230.9375	-13.33983	93.23639
231.25	-13.30139	93.24878
231.5625	-13.28734	93.46185
231.875	-13.27861	93.33693
232.1875	-13.25957	93.34063
232.5	-13.23344	93.21643
232.8125	-13.22848	93.48356
233.125	-13.17808	93.58875
233.4375	-13.15141	93.23055
233.75	-13.06839	93.11671
234.0625	-13.1123	93.18355
234.375	-13.03067	93.16512
234.6875	-13.05693	93.34683
235	-13.01816	93.40706
235.3125	-12.9803	93.26513
235.625	-12.93465	93.02936
235.9375	-12.89018	93.2264
236.25	-12.88286	93.05197
236.5625	-12.7907	93.13937
236.875	-12.785	93.37564
237.1875	-12.76014	93.20083
237.5	-12.72586	93.07924
237.8125	-12.65255	93.02531
238.125	-12.61259	93.44321
238.4375	-12.6411	93.41785
238.75	-12.64948	93.23692
239.0625	-12.57027	92.89133
239.375	-12.55792	93.06551
239.6875	-12.5513	93.00113
240	-12.55821	92.95367
240.3125	-12.50208	93.16757
240.625	-12.46748	92.92504
240.9375	-12.46953	92.92281
241.25	-12.46151	92.96141
241.5625	-12.42616	92.71009
241.875	-12.41949	92.89077
242.1875	-12.37258	92.82778
242.5	-12.36342	93.16791
242.8125	-12.35228	93.19758
243.125	-12.28973	93.18829
243.4375	-12.25667	93.4238
243.75	-12.28357	93.24277
244.0625	-12.2311	93.50375
244.375	-12.20613	93.69461
244.6875	-12.1475	93.63544
245	-12.12628	93.99585
245.3125	-12.06618	93.91512
245.625	-12.0323	94.19524
245.9375	-11.93273	94.09483
246.25	-11.89157	94.2626
246.5625	-11.78727	94.06535
246.875	-11.75692	94.4356
247.1875	-11.67603	94.2001
247.5	-11.62238	94.50948
247.8125	-11.50203	94.11858
248.125	-11.42571	94.0664
248.4375	-11.37519	93.99943
248.75	-11.26648	94.06889
249.0625	-11.16866	93.72403
249.375	-11.07061	93.52977
249.6875	-10.96768	93.24236
250	-10.88051	93.05812
250.3125	-10.66053	92.98399
250.625	-10.54625	92.20974
250.9375	-10.36207	91.50349
251.25	-10.13547	90.42273
251.5625	-9.889956	88.87424
251.875	-9.582871	86.74673
252.1875	-9.246365	82.80299
252.5	-9.080893	76.24558
252.8125	-9.416384	66.46785
253.125	-11.50644	55.26387
253.4375	-14.88233	65.51335
253.75	-14.69917	83.18016
254.0625	-13.80192	88.35207
254.375	-13.23389	90.74993
254.6875	-12.82509	91.50365
255	-12.63806	91.82885
255.3125	-12.36249	91.31361
255.625	-12.23206	91.96584
255.9375	-12.14611	91.92347
256.25	-11.98175	92.14864
256.5625	-11.93617	92.11977
256.875	-11.86636	92.34497
257.1875	-11.76632	92.1507
257.5	-11.67813	92.54968
257.8125	-11.65283	92.72897
258.125	-11.57354	92.52596
258.4375	-11.48629	92.53343
258.75	-11.41773	92.52346
259.0625	-11.33558	92.50513
259.375	-11.34423	92.84965
259.6875	-11.29982	92.58981
260	-11.25069	92.40015
260.3125	-11.1146	92.52744
260.625	-11.12115	92.63291
260.9375	-11.06881	92.36575
261.25	-11.02864	92.72361
261.5625	-10.98513	92.54868
261.875	-10.96257	92.87576
262.1875	-10.91026	92.45457
262.5	-10.86866	92.67617
262.8125	-10.82266	92.64493
263.125	-10.79396	92.194
263.4375	-10.76136	92.51693
263.75	-10.71291	92.50078
264.0625	-10.70126	92.4711
264.375	-10.64109	92.48458
264.6875	-10.58989	92.83129
265	-10.58729	92.40493
265.3125	-10.55461	92.43014
265.625	-10.5023	92.43379
265.9375	-10.46866	92.46916
266.25	-10.43463	92.23846
266.5625	-10.40795	92.23291
266.875	-10.35365	92.42414
267.1875	-10.34957	92.58564
267.5	-10.29961	92.54107
267.8125	-10.27339	92.46187
