[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 17000] lr=1.00e-03, total=3.0655e-04, data=3.0653e-04, sparsity_reg=1.4302e-08, imag_w=4.0985e-09, active_edges=510
[PHASE1 | Epoch 17000] lr=1.00e-03, total=2.4959e-05, data=2.4937e-05, sparsity_reg=1.6297e-08, imag_w=5.9797e-09, active_edges=510
[PHASE1 | Epoch 17000] lr=1.00e-03, total=2.7180e-05, data=2.7156e-05, sparsity_reg=1.7917e-08, imag_w=6.5443e-09, active_edges=510
[PHASE1 | Epoch 18000] lr=1.00e-03, total=1.2295e-03, data=1.2295e-03, sparsity_reg=1.4313e-08, imag_w=5.2993e-09, active_edges=510
[PHASE1 | Epoch 18000] lr=1.00e-03, total=2.4722e-06, data=2.4507e-06, sparsity_reg=1.6616e-08, imag_w=4.8858e-09, active_edges=510
[PHASE1 | Epoch 18000] lr=1.00e-03, total=7.2650e-06, data=7.2462e-06, sparsity_reg=1.4473e-08, imag_w=4.2496e-09, active_edges=510
[PHASE1 | Epoch 18000] lr=1.00e-03, total=3.7675e-05, data=3.7652e-05, sparsity_reg=1.6548e-08, imag_w=6.3186e-09, active_edges=510
[PHASE1 | Epoch 18000] lr=1.00e-03, total=1.4177e-05, data=1.4152e-05, sparsity_reg=1.8021e-08, imag_w=6.8104e-09, active_edges=510
[PHASE1 | Epoch 19000] lr=1.00e-03, total=1.9095e-05, data=1.9075e-05, sparsity_reg=1.4682e-08, imag_w=5.7568e-09, active_edges=510
[PHASE1 | Epoch 19000] lr=1.00e-03, total=1.0913e-06, data=1.0693e-06, sparsity_reg=1.6754e-08, imag_w=5.2440e-09, active_edges=510
[PHASE1 | Epoch 19000] lr=1.00e-03, total=3.7596e-04, data=3.7595e-04, sparsity_reg=1.4561e-08, imag_w=4.4479e-09, active_edges=510
[PHASE1 | Epoch 19000] lr=1.00e-03, total=2.8155e-03, data=2.8155e-03, sparsity_reg=1.6855e-08, imag_w=6.6791e-09, active_edges=510
[PHASE1 | Epoch 19000] lr=1.00e-03, total=3.1560e-06, data=3.1309e-06, sparsity_reg=1.8101e-08, imag_w=6.9489e-09, active_edges=510
[PHASE1 | Epoch 20000] lr=1.00e-03, total=8.7090e-05, data=8.7069e-05, sparsity_reg=1.4950e-08, imag_w=6.1664e-09, active_edges=510
[PHASE1 | Epoch 20000] lr=1.00e-03, total=2.2462e-03, data=2.2461e-03, sparsity_reg=1.6837e-08, imag_w=5.5760e-09, active_edges=510
[PHASE1 | Epoch 20000] lr=1.00e-03, total=4.9270e-04, data=4.9268e-04, sparsity_reg=1.4585e-08, imag_w=4.4450e-09, active_edges=510
[PHASE1 | Epoch 20000] lr=1.00e-03, total=5.8844e-05, data=5.8820e-05, sparsity_reg=1.7161e-08, imag_w=6.9612e-09, active_edges=510
[PHASE1 | Epoch 20000] lr=1.00e-03, total=3.9198e-06, data=3.8947e-06, sparsity_reg=1.8142e-08, imag_w=6.9501e-09, active_edges=510
[PHASE1 | Epoch 21000] lr=1.00e-03, total=3.6174e-06, data=3.5958e-06, sparsity_reg=1.5236e-08, imag_w=6.3829e-09, active_edges=510
[PHASE1 | Epoch 21000] lr=1.00e-03, total=1.1735e-04, data=1.1733e-04, sparsity_reg=1.7019e-08, imag_w=6.0098e-09, active_edges=510
[PHASE1 | Epoch 21000] lr=1.00e-03, total=1.8656e-05, data=1.8636e-05, sparsity_reg=1.4759e-08, imag_w=4.7224e-09, active_edges=510
[PHASE1 | Epoch 21000] lr=1.00e-03, total=2.9377e-06, data=2.9129e-06, sparsity_reg=1.7514e-08, imag_w=7.3355e-09, active_edges=510
[PHASE1 | Epoch 21000] lr=1.00e-03, total=2.6902e-05, data=2.6877e-05, sparsity_reg=1.8274e-08, imag_w=7.0416e-09, active_edges=510
[PHASE1 | Epoch 22000] lr=1.00e-03, total=2.1496e-05, data=2.1474e-05, sparsity_reg=1.5464e-08, imag_w=6.6822e-09, active_edges=510
[PHASE1 | Epoch 22000] lr=1.00e-03, total=1.8239e-06, data=1.8003e-06, sparsity_reg=1.7176e-08, imag_w=6.4430e-09, active_edges=510
[PHASE1 | Epoch 22000] lr=1.00e-03, total=2.2589e-05, data=2.2569e-05, sparsity_reg=1.4818e-08, imag_w=4.8645e-09, active_edges=510
